1	0.013
2	0.005
3	0.004
4	0.004
5	0.004
6	0.005
7	0.006
8	0.006
9	0.008
10	0.008
11	0.008
12	0.009
13	0.011
14	0.012
15	0.013
16	0.013
17	0.015
18	0.016
19	0.018
20	0.017
21	0.02
22	0.021
23	0.032
24	0.025
25	0.027
26	0.028
27	0.03
28	0.032
29	0.033
30	0.035
31	0.038
32	0.04
33	3.45
34	0.05
35	0.049
36	0.051
37	0.052
38	0.054
39	0.056
40	0.06
41	0.062
42	0.064
43	0.068
44	0.07
45	0.073
46	0.076
47	0.08
48	0.085
49	0.088
50	0.09
51	0.093
52	0.098
53	0.102
54	0.105
55	0.11
56	0.114
57	0.118
58	0.121
59	0.124
60	0.131
61	0.134
62	0.141
63	0.144
64	0.126
65	0.083
66	0.083
67	0.087
68	0.089
69	0.093
70	0.095
71	0.099
72	0.101
73	0.102
74	0.105
75	0.108
76	0.111
77	0.113
78	0.117
79	0.121
80	0.124
81	0.128
82	0.13
83	0.133
84	0.136
85	0.139
86	0.143
87	0.147
88	0.151
89	0.155
90	0.158
91	0.16
92	0.166
93	0.169
94	0.18
95	0.177
96	0.181
97	0.185
98	0.188
99	0.192
100	0.197
101	0.201
102	0.206
103	0.209
104	0.213
105	0.903
106	0.467
107	0.47
108	0.506
109	0.489
110	0.495
111	0.506
112	0.515
113	0.524
114	0.534
115	0.635
116	0.639
117	0.63
118	0.639
119	0.64
120	0.656
121	0.702
122	0.693
123	0.691
124	0.707
125	0.723
126	0.731
127	0.292
128	0.259
129	0.266
130	0.268
131	0.273
132	0.275
133	0.283
134	0.282
135	0.288
136	0.296
137	0.295
138	0.301
139	0.309
140	0.319
141	0.314
142	0.32
143	0.322
144	0.326
145	0.333
146	0.336
147	0.343
148	0.348
149	0.352
150	0.355
151	0.446
152	0.403
153	0.4
154	0.389
155	0.38
156	0.389
157	0.397
158	0.364
159	0.372
160	0.361
161	0.368
162	0.404
163	0.38
164	0.381
165	0.384
166	0.397
167	0.419
168	0.409
169	0.404
170	0.433
171	0.418
172	0.457
173	0.436
174	0.433
175	0.434
176	0.472
177	0.442
178	0.459
179	0.445
180	0.451
181	0.459
182	0.46
183	0.464
184	0.491
185	0.485
186	0.495
187	0.593
188	0.617
189	0.559
190	0.518
191	0.523
192	0.526
193	0.541
194	0.54
195	0.544
196	0.568
197	0.542
198	0.586
199	0.552
200	0.557
201	0.563
202	0.572
203	0.61
204	0.598
205	0.585
206	0.589
207	0.595
208	0.602
209	0.613
210	0.618
211	0.62
212	0.626
213	0.63
214	0.813
215	0.796
216	0.675
217	0.656
218	0.688
219	0.684
220	0.692
221	0.703
222	0.708
223	0.693
224	0.731
225	0.738
226	0.741
227	0.756
228	0.735
229	0.732
230	0.738
231	0.741
232	0.758
233	0.753
234	0.765
235	0.769
236	0.795
237	0.819
238	0.81
239	0.799
240	0.806
241	0.811
242	0.824
243	0.827
244	0.829
245	0.84
246	0.848
247	0.862
248	0.863
249	0.871
250	0.879
251	0.895
252	0.891
253	0.945
254	1.145
255	0.953
256	0.917
257	0.927
258	0.935
259	0.94
260	0.957
261	0.956
262	0.964
263	0.971
264	0.981
265	0.982
266	0.992
267	0.999
268	1.012
269	1.034
270	1.066
271	0.978
272	0.99
273	1.047
274	1.031
275	1.008
276	1.053
277	1.077
278	1.05
279	1.043
280	1.044
281	1.05
282	1.127
283	1.11
284	1.285
285	1.297
286	1.162
287	1.1
288	1.107
289	1.12
290	1.132
291	1.13
292	1.138
293	1.152
294	1.152
295	1.169
296	1.167
297	1.257
298	1.449
299	1.191
300	1.212
301	1.209
302	1.22
303	1.233
304	1.237
305	1.298
306	1.283
307	1.523
308	1.267
309	1.4
310	1.637
311	1.344
312	1.308
313	1.305
314	1.316
315	1.331
316	1.331
317	1.362
318	1.459
319	1.391
320	1.366
321	1.727
322	1.398
323	1.398
324	1.394
325	1.405
326	1.424
327	1.423
328	1.431
329	1.445
330	1.448
331	1.479
332	1.5
333	1.481
334	1.494
335	1.498
336	1.506
337	1.609
338	1.572
339	1.576
340	1.547
341	1.597
342	1.901
343	1.64
344	1.601
345	1.657
346	1.612
347	1.614
